,Actual_Value,SARIMA_Forecast,Forecast_Upper,Forecast_Lower
01-01-1985,72.5052,,,
01-02-1985,70.672,,,
01-03-1985,62.4502,,,
01-04-1985,57.4714,,,
01-05-1985,55.3151,,,
01-06-1985,58.0904,,,
01-07-1985,62.6202,,,
01-08-1985,63.2485,,,
01-09-1985,60.5846,,,
01-10-1985,56.3154,,,
01-11-1985,58.0005,,,
01-12-1985,68.7145,,,
01-01-1986,73.3057,,,
01-02-1986,67.9869,,,
01-03-1986,62.2221,,,
01-04-1986,57.0329,,,
01-05-1986,55.8137,,,
01-06-1986,59.9005,,,
01-07-1986,65.7655,,,
01-08-1986,64.4816,,,
01-09-1986,61.0005,,,
01-10-1986,57.5322,,,
01-11-1986,59.3417,,,
01-12-1986,68.1354,,,
01-01-1987,73.8152,,,
01-02-1987,70.062,,,
01-03-1987,65.61,,,
01-04-1987,60.1586,,,
01-05-1987,58.8734,,,
01-06-1987,63.8918,,,
01-07-1987,68.8694,,,
01-08-1987,70.0669,,,
01-09-1987,64.1151,,,
01-10-1987,60.3789,,,
01-11-1987,62.4643,,,
01-12-1987,70.5777,,,
01-01-1988,79.8703,,,
01-02-1988,76.1622,,,
01-03-1988,70.2928,,,
01-04-1988,63.2384,,,
01-05-1988,61.4065,,,
01-06-1988,67.1097,,,
01-07-1988,72.9816,,,
01-08-1988,75.7655,,,
01-09-1988,67.5152,,,
01-10-1988,63.2832,,,
01-11-1988,65.1078,,,
01-12-1988,73.8631,,,
01-01-1989,77.9188,,,
01-02-1989,76.6822,,,
01-03-1989,73.3523,,,
01-04-1989,65.1081,,,
01-05-1989,63.6892,,,
01-06-1989,68.4722,,,
01-07-1989,74.0301,,,
01-08-1989,75.0448,,,
01-09-1989,69.3053,,,
01-10-1989,65.8735,,,
01-11-1989,69.0706,,,
01-12-1989,84.1949,,,
01-01-1990,84.3598,,,
01-02-1990,77.1726,,,
01-03-1990,73.1964,,,
01-04-1990,67.2781,,,
01-05-1990,65.8218,,,
01-06-1990,71.4654,,,
01-07-1990,76.614,,,
01-08-1990,77.1052,,,
01-09-1990,73.061,,,
01-10-1990,67.4365,,,
01-11-1990,68.5665,,,
01-12-1990,77.6839,,,
01-01-1991,86.0214,,,
01-02-1991,77.5573,,,
01-03-1991,73.365,,,
01-04-1991,67.15,,,
01-05-1991,68.8162,,,
01-06-1991,74.8448,,,
01-07-1991,80.0928,,,
01-08-1991,79.1606,,,
01-09-1991,73.5743,,,
01-10-1991,68.7538,,,
01-11-1991,72.5166,,,
01-12-1991,79.4894,,,
01-01-1992,85.2855,,,
01-02-1992,80.1643,,,
01-03-1992,74.5275,,,
01-04-1992,69.6441,,,
01-05-1992,67.1784,,,
01-06-1992,71.2078,,,
01-07-1992,77.5081,,,
01-08-1992,76.5374,,,
01-09-1992,72.3541,,,
01-10-1992,69.0286,,,
01-11-1992,73.4992,,,
01-12-1992,84.5159,,,
01-01-1993,87.9464,,,
01-02-1993,84.5561,,,
01-03-1993,79.4747,,,
01-04-1993,71.0578,,,
01-05-1993,67.6762,,,
01-06-1993,74.3297,,,
01-07-1993,82.1048,,,
01-08-1993,82.0605,,,
01-09-1993,74.6031,,,
01-10-1993,69.681,,,
01-11-1993,74.4292,,,
01-12-1993,84.2284,,,
01-01-1994,94.1386,,,
01-02-1994,87.1607,,,
01-03-1994,79.2456,,,
01-04-1994,70.9749,,,
01-05-1994,69.3844,,,
01-06-1994,77.9831,,,
01-07-1994,83.277,,,
01-08-1994,81.8872,,,
01-09-1994,75.6826,,,
01-10-1994,71.2661,,,
01-11-1994,75.2458,,,
01-12-1994,84.8147,,,
01-01-1995,92.4532,,,
01-02-1995,87.4033,,,
01-03-1995,81.2661,,,
01-04-1995,73.8167,,,
01-05-1995,73.2682,,,
01-06-1995,78.3026,,,
01-07-1995,85.9841,,,
01-08-1995,89.5467,,,
01-09-1995,78.5035,,,
01-10-1995,73.7066,,,
01-11-1995,79.6543,,,
01-12-1995,90.8251,,,
01-01-1996,98.9732,,,
01-02-1996,92.8883,,,
01-03-1996,86.9356,,,
01-04-1996,77.2214,,,
01-05-1996,76.6826,,,
01-06-1996,81.9306,,,
01-07-1996,85.9606,,,
01-08-1996,86.5562,,,
01-09-1996,79.1919,,,
01-10-1996,74.6891,,,
01-11-1996,81.074,,,
01-12-1996,90.4855,,,
01-01-1997,98.4613,,,
01-02-1997,89.7795,,,
01-03-1997,83.0125,,,
01-04-1997,76.1476,,,
01-05-1997,73.8471,,,
01-06-1997,79.7645,,,
01-07-1997,88.4519,,,
01-08-1997,87.7828,,,
01-09-1997,81.9386,,,
01-10-1997,77.5027,,,
01-11-1997,82.0448,,,
01-12-1997,92.101,,,
01-01-1998,94.792,,,
01-02-1998,87.82,,,
01-03-1998,86.5549,,,
01-04-1998,76.7521,,,
01-05-1998,78.0303,,,
01-06-1998,86.4579,,,
01-07-1998,93.8379,,,
01-08-1998,93.531,,,
01-09-1998,87.5414,,,
01-10-1998,80.0924,,,
01-11-1998,81.4349,,,
01-12-1998,91.6841,,,
01-01-1999,102.1348,,,
01-02-1999,91.1829,,,
01-03-1999,90.7381,,,
01-04-1999,80.5176,,,
01-05-1999,79.3887,,,
01-06-1999,87.8431,,,
01-07-1999,97.4903,,,
01-08-1999,96.4157,,,
01-09-1999,87.2248,,,
01-10-1999,80.6409,,,
01-11-1999,82.2025,,,
01-12-1999,94.5113,,,
01-01-2000,102.2301,,,
01-02-2000,94.2989,,,
01-03-2000,88.0927,,,
01-04-2000,81.4425,,,
01-05-2000,84.4552,,,
01-06-2000,91.0406,,,
01-07-2000,95.9957,,,
01-08-2000,99.3704,,,
01-09-2000,90.9178,,,
01-10-2000,83.1408,,,
01-11-2000,88.041,,,
01-12-2000,102.4558,,,
01-01-2001,109.1081,,,
01-02-2001,97.1717,,,
01-03-2001,92.8283,,,
01-04-2001,82.915,,,
01-05-2001,82.5465,,,
01-06-2001,90.3955,,,
01-07-2001,96.074,,,
01-08-2001,99.5534,,,
01-09-2001,88.281,,,
01-10-2001,82.686,,,
01-11-2001,82.9319,,,
01-12-2001,93.0381,,,
01-01-2002,102.9955,,,
01-02-2002,95.2075,,,
01-03-2002,93.2556,,,
01-04-2002,85.795,,,
01-05-2002,85.2351,,,
01-06-2002,93.1896,,,
01-07-2002,102.393,,,
01-08-2002,101.6293,,,
01-09-2002,93.3089,,,
01-10-2002,86.9002,,,
01-11-2002,88.5749,,,
01-12-2002,100.8003,,,
01-01-2003,110.1807,,,
01-02-2003,103.8413,,,
01-03-2003,94.5532,,,
01-04-2003,85.062,,,
01-05-2003,85.4653,,,
01-06-2003,91.0761,,,
01-07-2003,102.22,,,
01-08-2003,104.4682,,,
01-09-2003,92.9135,,,
01-10-2003,86.5047,,,
01-11-2003,88.5735,,,
01-12-2003,103.5428,,,
01-01-2004,113.7226,,,
01-02-2004,106.159,,,
01-03-2004,95.4029,,,
01-04-2004,86.7233,,,
01-05-2004,89.0302,,,
01-06-2004,95.5045,,,
01-07-2004,101.7948,,,
01-08-2004,100.2025,,,
01-09-2004,94.024,,,
01-10-2004,87.5262,,,
01-11-2004,89.6144,,,
01-12-2004,105.7263,,,
01-01-2005,111.1614,,,
01-02-2005,101.7795,,,
01-03-2005,98.9565,,,
01-04-2005,86.4776,,,
01-05-2005,87.2234,,,
01-06-2005,99.5076,,,
01-07-2005,108.3501,,,
01-08-2005,109.4862,,,
01-09-2005,99.1155,,,
01-10-2005,89.7567,,,
01-11-2005,90.4587,,,
01-12-2005,108.2257,,,
01-01-2006,104.4724,,,
01-02-2006,101.5196,,,
01-03-2006,98.4017,,,
01-04-2006,87.5093,,,
01-05-2006,90.0222,,,
01-06-2006,100.5244,,,
01-07-2006,110.9503,,,
01-08-2006,111.5192,,,
01-09-2006,95.7632,,,
01-10-2006,90.3738,,,
01-11-2006,92.3566,,,
01-12-2006,103.066,,,
01-01-2007,112.0576,,,
01-02-2007,111.8399,,,
01-03-2007,99.1925,,,
01-04-2007,90.8177,,,
01-05-2007,92.0587,,,
01-06-2007,100.9676,,,
01-07-2007,107.5686,,,
01-08-2007,114.1036,,,
01-09-2007,101.5316,,,
01-10-2007,93.0068,,,
01-11-2007,93.9126,,,
01-12-2007,106.7528,,,
01-01-2008,114.8331,,,
01-02-2008,108.2353,,,
01-03-2008,100.4386,,,
01-04-2008,90.9944,,,
01-05-2008,91.2348,,,
01-06-2008,103.9581,,,
01-07-2008,110.7631,,,
01-08-2008,107.5665,,,
01-09-2008,97.7183,,,
01-10-2008,90.9979,,,
01-11-2008,93.8057,,,
01-12-2008,109.4221,,,
01-01-2009,116.8316,,,
01-02-2009,104.4202,,,
01-03-2009,97.8529,,,
01-04-2009,88.1973,,,
01-05-2009,87.5366,,,
01-06-2009,97.2387,,,
01-07-2009,103.9086,,,
01-08-2009,105.7486,,,
01-09-2009,94.8823,,,
01-10-2009,89.2977,,,
01-11-2009,89.3585,,,
01-12-2009,110.6844,,,
01-01-2010,119.0166,,,
01-02-2010,110.533,,,
01-03-2010,98.2672,,,
01-04-2010,86.3,,,
01-05-2010,90.8364,,,
01-06-2010,104.3538,,,
01-07-2010,112.8066,,,
01-08-2010,112.9014,,,
01-09-2010,100.1209,,,
01-10-2010,88.9251,,,
01-11-2010,92.775,,,
01-12-2010,114.3266,,,
01-01-2011,119.488,,,
01-02-2011,107.3753,,,
01-03-2011,99.1028,,,
01-04-2011,89.3583,,,
01-05-2011,90.0698,,,
01-06-2011,102.8204,,,
01-07-2011,114.7068,,,
01-08-2011,113.5958,,,
01-09-2011,99.4712,,,
01-10-2011,90.3566,,,
01-11-2011,93.8095,,,
01-12-2011,107.3312,,,
01-01-2012,111.9646,,,
01-02-2012,103.3679,,,
01-03-2012,93.5772,,,
01-04-2012,87.5566,,,
01-05-2012,92.7603,,,
01-06-2012,101.14,,,
01-07-2012,113.0357,,,
01-08-2012,109.8601,,,
01-09-2012,96.7431,,,
01-10-2012,90.3805,,,
01-11-2012,94.3417,,,
01-12-2012,105.2722,,,
01-01-2013,115.501,,,
01-02-2013,106.734,,,
01-03-2013,102.9948,,,
01-04-2013,91.0092,,,
01-05-2013,90.9634,,,
01-06-2013,100.6957,,,
01-07-2013,110.148,,,
01-08-2013,108.1756,,,
01-09-2013,99.2809,,,
01-10-2013,91.7871,,,
01-11-2013,97.2853,,,
01-12-2013,113.4732,,,
01-01-2014,124.2549,,,
01-02-2014,112.8811,,,
01-03-2014,104.7631,,,
01-04-2014,90.2867,,,
01-05-2014,92.134,,,
01-06-2014,101.878,,,
01-07-2014,108.5497,,,
01-08-2014,108.194,,,
01-09-2014,100.4172,,,
01-10-2014,92.3837,,,
01-11-2014,99.7033,,,
01-12-2014,109.3477,,,
01-01-2015,120.2696,,,
01-02-2015,116.3788,,,
01-03-2015,104.4706,,,
01-04-2015,89.7461,,,
01-05-2015,91.093,,,
01-06-2015,102.6495,,,
01-07-2015,111.6354,,,
01-08-2015,110.5925,,,
01-09-2015,101.9204,,,
01-10-2015,91.5959,,,
01-11-2015,93.0628,,,
01-12-2015,103.2203,,,
01-01-2016,117.0837,,,
01-02-2016,106.6688,,,
01-03-2016,95.3548,,,
01-04-2016,89.3254,,,
01-05-2016,90.7369,,,
01-06-2016,104.0375,,,
01-07-2016,114.5397,,,
01-08-2016,115.5159,,,
01-09-2016,102.7637,,,
01-10-2016,91.4867,,,
01-11-2016,92.89,,,
01-12-2016,112.7694,,,
01-01-2017,114.8505,,,
01-02-2017,99.4901,,,
01-03-2017,101.0396,,,
01-04-2017,88.353,,,
01-05-2017,92.0805,,,
01-06-2017,102.1532,,,
01-07-2017,112.1538,,,
01-08-2017,108.9312,,,
01-09-2017,98.6154,,,
01-10-2017,93.6137,,,
01-11-2017,97.3359,,,
01-12-2017,114.7212,,,
01-01-2018,,120.2310613,124.8483557,115.613767
01-02-2018,,109.4381022,114.7756913,104.1005131
01-03-2018,,103.1781301,108.6496683,97.7065919
01-04-2018,,90.20000475,95.71112266,84.68888684
01-05-2018,,92.39877953,97.93938037,86.85817869
01-06-2018,,102.7069481,108.2693209,97.1445753
01-07-2018,,111.775481,117.3607885,106.1901736
01-08-2018,,110.0391753,115.6453268,104.4330237
01-09-2018,,100.3319166,105.95991,94.70392324
01-10-2018,,92.88035839,98.5292454,87.23147138
01-11-2018,,96.81681034,102.4870967,91.14652402
01-12-2018,,110.1265606,115.8177423,104.4353788
01-01-2019,,119.9410589,125.9072679,113.9748498
01-02-2019,,111.0552583,117.149384,104.9611325
01-03-2019,,101.6236638,107.773882,95.4734456
01-04-2019,,90.66723021,96.8543072,84.48015322
01-05-2019,,92.29098086,98.51214283,86.0698189
01-06-2019,,103.5353534,109.7880724,97.28263444
01-07-2019,,112.8065858,119.0911434,106.5220281
01-08-2019,,112.2315194,118.5470881,105.9159507
01-09-2019,,101.7794698,108.1262651,95.43267449
01-10-2019,,92.59391814,98.97149516,86.21634112
01-11-2019,,95.83760587,102.2460145,89.42919722
01-12-2019,,110.0816526,116.5206021,103.6427031
01-01-2020,,118.6744785,125.1544071,112.1945499
01-02-2020,,108.3469191,114.8629302,101.830908
01-03-2020,,101.3754029,107.9240846,94.82672122
01-04-2020,,90.40552867,96.98552092,83.82553643
01-05-2020,,92.5087532,99.11974789,85.8977585
01-06-2020,,103.6375824,110.2792513,96.99591358
01-07-2020,,113.1740035,119.8462476,106.5017595
01-08-2020,,112.103405,118.8060288,105.4007813
01-09-2020,,101.5083847,108.2412831,94.77548631
01-10-2020,,93.13059592,99.89360835,86.36758349
01-11-2020,,96.34506248,103.1380726,89.5520524
01-12-2020,,111.7457416,118.5686051,104.9228781
01-01-2021,,119.1284253,126.1785005,112.0783502
01-02-2021,,108.3088385,115.4773017,101.1403753
01-03-2021,,102.1524974,109.3815688,94.92342601
01-04-2021,,90.58679374,97.86000289,83.31358458
01-05-2021,,92.83617465,100.1509058,85.52144348
01-06-2021,,103.694446,111.0484249,96.34046712
01-07-2021,,113.1580651,120.5514389,105.7646914
01-08-2021,,111.7691426,119.2011311,104.3371541
01-09-2021,,101.4008757,108.8715893,93.93016211
01-10-2021,,93.49508919,101.0040801,85.98609831
01-11-2021,,96.91538268,104.4626243,89.36814104
01-12-2021,,111.9837077,119.5688857,104.3985296
01-01-2022,,119.7861562,127.6837646,111.8885478
01-02-2022,,109.4160664,117.4728373,101.3592954
01-03-2022,,102.4939414,110.6301052,94.35777762
01-04-2022,,90.96141061,99.15445905,82.76836216
01-05-2022,,93.06216253,101.3085482,84.81577685
01-06-2022,,103.9677866,112.2643985,95.67117457
01-07-2022,,113.3567329,121.7037587,105.0097071
01-08-2022,,112.1296168,120.5259769,103.7332567
01-09-2022,,101.7924168,110.2382455,93.34658816
01-10-2022,,93.62516956,102.1198412,85.13049794
01-11-2022,,97.04399491,105.5874582,88.50053161
01-12-2022,,111.7873577,120.3791706,103.1955448
01-01-2023,,119.9262711,128.7549127,111.0976296
01-02-2023,,109.6793154,118.6447183,100.7139126
01-03-2023,,102.5542188,111.5999621,93.50847559
01-04-2023,,91.19585609,100.3047329,82.08697933
01-05-2023,,93.26077163,102.4298995,84.09164371
01-06-2023,,104.2439001,113.4706998,95.01710047
01-07-2023,,113.6579865,122.9424924,104.3734805
01-08-2023,,112.5168574,121.8580955,103.1756192
01-09-2023,,102.1112329,111.5091974,92.71326835
01-10-2023,,93.8175423,103.2716243,84.36346034
01-11-2023,,97.17571222,106.685762,87.66566246
01-12-2023,,112.0330627,121.5986214,102.467504
01-01-2024,,120.0316348,129.8198875,110.2433822
01-02-2024,,109.646023,119.5700503,99.7219957
01-03-2024,,102.7568138,112.7659291,92.74769853
01-04-2024,,91.38012601,101.4584138,81.30183824
01-05-2024,,93.4906499,103.6353546,83.34594521
01-06-2024,,104.4560082,114.6646598,94.24735657
01-07-2024,,113.8908937,124.1634589,103.6183285
01-08-2024,,112.69781,123.0333178,102.3623021
01-09-2024,,102.2863736,112.6847568,91.88799052
01-10-2024,,94.07602295,104.5366531,83.61539282
01-11-2024,,97.43759933,107.9602774,86.91492126
01-12-2024,,112.3852394,122.9694793,101.8009995
